Course,Price,Discount Price,Date
Complete Dbt Data Build Tool Bootcamp Zero To Hero Learn Dbt,109.99,17.99,2024-10-28
Complete Dbt Data Build Tool Bootcamp Zero To Hero Learn Dbt,109.99,109.99,2024-10-29
Complete Dbt Data Build Tool Bootcamp Zero To Hero Learn Dbt,109.99,109.99,2024-10-29
Complete Dbt Data Build Tool Bootcamp Zero To Hero Learn Dbt,109.99,109.99,2024-10-29
Complete Dbt Data Build Tool Bootcamp Zero To Hero Learn Dbt,109.99,109.99,2024-10-29
Complete Python Bootcamp,129.99,129.99,2024-10-29
Complete Python Bootcamp,129.99,129.99,2024-10-29
Complete Dbt Data Build Tool Bootcamp Zero To Hero Learn Dbt,109.99,109.99,2024-10-29
Complete Python Bootcamp,104.99,104.99,2024-10-29
Complete Dbt Data Build Tool Bootcamp Zero To Hero Learn Dbt,109.99,109.99,2024-10-29
Complete Dbt Data Build Tool Bootcamp Zero To Hero Learn Dbt,109.99,109.99,2024-10-29
Complete Dbt Data Build Tool Bootcamp Zero To Hero Learn Dbt,109.99,109.99,2024-10-29
